time,round,veh_id,rsu_id,veh_x,veh_y,dist
135.0,13,veh0,rsu_2,505.48,686.01,6.13
135.0,13,veh2,rsu_1,562.91,1216.97,4.01
135.0,13,veh4,rsu_0,387.31,859.87,30.67
135.0,13,veh7,rsu_1,584.77,1228.49,28.69
136.0,13,veh0,rsu_2,508.0,685.44,3.57
136.0,13,veh2,rsu_1,562.91,1216.97,4.01
136.0,13,veh4,rsu_0,391.39,853.99,35.42
136.0,13,veh7,rsu_1,584.61,1228.19,28.41
137.0,13,veh0,rsu_2,512.47,684.07,1.16
137.0,13,veh2,rsu_1,562.91,1216.97,4.01
137.0,13,veh4,rsu_0,396.2,847.92,41.63
137.0,13,veh7,rsu_1,584.53,1228.02,28.25
138.0,13,veh0,rsu_2,517.97,679.69,7.98
138.0,13,veh2,rsu_1,562.91,1216.97,4.01
138.0,13,veh4,rsu_0,400.51,842.45,47.59
138.0,13,veh7,rsu_1,584.52,1228.01,28.24
139.0,13,veh0,rsu_2,522.28,674.21,14.77
139.0,13,veh2,rsu_1,562.91,1216.97,4.01
139.0,13,veh4,rsu_0,404.65,836.85,53.7
139.0,13,veh7,rsu_1,587.33,1226.49,30.12
139.0,13,veh9,rsu_0,289.24,885.55,71.77
140.0,14,veh0,rsu_2,526.65,668.64,21.77
140.0,14,veh2,rsu_1,562.91,1216.97,4.01
140.0,14,veh4,rsu_0,408.85,831.16,60.1
140.0,14,veh7,rsu_1,587.33,1226.49,30.12
140.0,14,veh9,rsu_0,287.13,879.69,72.01
141.0,14,veh0,rsu_2,530.51,663.11,28.44
141.0,14,veh2,rsu_1,562.91,1216.97,4.01
141.0,14,veh4,rsu_0,413.08,825.44,66.67
141.0,14,veh7,rsu_1,587.33,1226.49,30.12
141.0,14,veh9,rsu_0,285.14,874.16,72.73
142.0,14,veh0,rsu_2,534.99,657.07,35.93
142.0,14,veh2,rsu_1,562.91,1216.97,4.01
142.0,14,veh4,rsu_0,417.45,819.52,73.56
142.0,14,veh7,rsu_1,587.33,1226.49,30.12
142.0,14,veh9,rsu_0,282.98,868.16,74.03
143.0,14,veh0,rsu_2,539.58,651.09,43.45
143.0,14,veh2,rsu_1,562.91,1216.97,4.01
143.0,14,veh4,rsu_0,421.92,813.53,80.67
143.0,14,veh7,rsu_1,587.33,1226.49,30.12
143.0,14,veh9,rsu_0,280.92,862.16,75.75
144.0,14,veh0,rsu_2,543.95,645.39,50.63
144.0,14,veh2,rsu_1,562.91,1216.97,4.01
144.0,14,veh4,rsu_0,426.36,807.6,87.78
144.0,14,veh4,rsu_2,426.36,807.6,149.9
144.0,14,veh7,rsu_1,587.33,1226.49,30.12
144.0,14,veh9,rsu_0,278.8,855.86,78.02
145.0,14,veh0,rsu_2,548.33,639.67,57.82
145.0,14,veh2,rsu_1,563.88,1218.42,5.67
145.0,14,veh4,rsu_0,430.37,802.3,94.2
145.0,14,veh4,rsu_2,430.37,802.3,143.26
145.0,14,veh7,rsu_1,586.5,1224.96,28.77
145.0,14,veh9,rsu_0,278.04,850.5,79.32
146.0,14,veh0,rsu_2,552.96,633.64,65.42
146.0,14,veh2,rsu_1,565.56,1221.08,8.75
146.0,14,veh4,rsu_0,434.34,797.07,100.57
146.0,14,veh4,rsu_2,434.34,797.07,136.71
146.0,14,veh7,rsu_1,584.65,1221.74,25.99
146.0,14,veh9,rsu_0,281.03,847.24,76.87
147.0,14,veh0,rsu_2,557.47,627.77,72.82
147.0,14,veh2,rsu_1,567.88,1225.86,13.91
147.0,14,veh4,rsu_0,438.47,791.63,107.23
147.0,14,veh4,rsu_2,438.47,791.63,129.88
147.0,14,veh7,rsu_1,581.27,1217.0,21.75
147.0,14,veh9,rsu_0,285.36,845.57,72.94
148.0,14,veh0,rsu_2,562.08,621.75,80.4
148.0,14,veh2,rsu_1,570.8,1232.65,21.18
148.0,14,veh4,rsu_0,443.0,785.66,114.55
148.0,14,veh4,rsu_2,443.0,785.66,122.41
148.0,14,veh7,rsu_1,576.26,1210.62,17.1
148.0,14,veh9,rsu_0,291.94,843.17,67.12
149.0,14,veh0,rsu_2,566.13,616.46,87.06
149.0,14,veh2,rsu_1,575.39,1241.32,30.98
149.0,14,veh4,rsu_0,446.94,780.48,120.93
149.0,14,veh4,rsu_2,446.94,780.48,115.91
149.0,14,veh7,rsu_1,570.7,1202.57,16.37
149.0,14,veh9,rsu_0,298.52,840.78,61.54
150.0,15,veh0,rsu_2,570.43,610.86,94.11
150.0,15,veh2,rsu_1,581.18,1252.1,43.2
150.0,15,veh4,rsu_0,451.13,774.96,127.75
150.0,15,veh4,rsu_2,451.13,774.96,108.99
150.0,15,veh7,rsu_1,564.11,1192.94,22.17
150.0,15,veh9,rsu_0,304.01,838.78,57.13
151.0,15,veh0,rsu_2,575.22,604.61,101.99
151.0,15,veh2,rsu_1,588.01,1264.96,57.76
151.0,15,veh4,rsu_0,455.49,769.27,134.8
151.0,15,veh4,rsu_2,455.49,769.27,101.84
151.0,15,veh7,rsu_1,556.67,1182.05,32.73
151.0,15,veh9,rsu_0,309.92,836.62,52.69
152.0,15,veh0,rsu_2,579.23,599.36,108.59
152.0,15,veh2,rsu_1,595.42,1279.08,73.7
152.0,15,veh4,rsu_0,459.59,763.95,141.44
152.0,15,veh4,rsu_2,459.59,763.95,95.14
152.0,15,veh7,rsu_1,547.97,1169.41,46.72
152.0,15,veh9,rsu_0,316.33,834.29,48.34
153.0,15,veh0,rsu_2,583.43,593.83,115.53
153.0,15,veh2,rsu_1,600.96,1289.65,85.63
153.0,15,veh4,rsu_0,464.0,758.25,148.55
153.0,15,veh4,rsu_2,464.0,758.25,87.97
153.0,15,veh7,rsu_1,539.27,1156.79,61.34
153.0,15,veh9,rsu_0,322.87,831.91,44.56
154.0,15,veh0,rsu_2,587.68,588.32,122.49
154.0,15,veh2,rsu_1,604.45,1296.29,93.13
154.0,15,veh4,rsu_2,468.32,752.66,80.94
154.0,15,veh7,rsu_1,530.61,1144.58,75.85
154.0,15,veh9,rsu_0,328.45,829.88,41.97
